,coordinates,coordinates.coordinates,coordinates.type,created_at,full_text,geo,geo.coordinates,geo.type,id,place.bounding_box.coordinates,place.bounding_box.type,place.contained_within,place.country,place.country_code,place.full_name,place.id,place.name,place.place_type,place.url,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.entities.description.urls,user.entities.url.urls,user.favourites_count,user.follow_request_sent,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.has_extended_profile,user.id,user.id_str,user.is_translation_enabled,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_banner_url,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.translator_type,user.url,user.utc_offset,user.verified
0,,,,Tue Jan 15 18:06:52 +0000 2019,"@arx147 @Mas2726 @StefanLoosli @DonaldJTrumpJr @GOP P.S. If we do want to start going down the unproductive and not nice road of condescension, lemme know. Because I'm willing to bet I know a whole lot more big words, am significantly better educated in human history, and have vastly superior control of language, than you

Vastly.",,,,1085236891107147777,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,False,Sun Apr 05 18:49:53 +0000 2009,False,False,"Linguist, anthropologist, tech recruiting sensei, Af-Am Studies PhD @Harvard (MA @UChicago), Hiphop scholarship, dragon energy, Authenticity over Sincerity",[],"[{'display_url': 'linkedin.com/in/christianfr…', 'expanded_url': 'http://www.linkedin.com/in/christianfree/', 'indices': [0, 23], 'url': 'https://t.co/I0yY2hQvk9'}]",1716,,468,,1217,True,True,29037364,29037364,False,False,en,26,"Boston, MA",Christian Free,,C6E2EE,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/29037364/1413392119,http://pbs.twimg.com/profile_images/522429035205255169/65CBVUzZ_normal.jpeg,https://pbs.twimg.com/profile_images/522429035205255169/65CBVUzZ_normal.jpeg,1F98C7,C6E2EE,DAECF4,663B12,True,False,cfree123,334,,none,https://t.co/I0yY2hQvk9,,False
1,,,,Tue Jan 15 16:21:46 +0000 2019,"Sign up to run or volunteer for the #StPatricksDay 5K benefiting the Edgerley Family @BGCB_Boston! Sun, March 17th! 🍀👟 Learn more at https://t.co/E1MpEttucQ https://t.co/tuBvQzqrsG",,,,1085210444313313281,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,False,Mon Sep 15 19:12:16 +0000 2008,False,False,"Designer + Community Advocate. Civically engaged, mother approved! #TheResistance",[],"[{'display_url': 'coreyd.com', 'expanded_url': 'http://www.coreyd.com', 'indices': [0, 23], 'url': 'https://t.co/IbW8h7TINi'}]",34447,,2599,,1621,True,False,16299979,16299979,False,False,en,92,"South Boston, MA",Corey Dinopoulos,,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/16299979/1543414071,http://pbs.twimg.com/profile_images/1067782238627028994/0PMeAkId_normal.jpg,https://pbs.twimg.com/profile_images/1067782238627028994/0PMeAkId_normal.jpg,1B95E0,000000,242424,C2C2C2,True,False,cdinopoulos,8167,,none,https://t.co/IbW8h7TINi,,True
2,,,,Tue Jan 15 15:10:14 +0000 2019,"That’s a skill, Tommy. Take that show on the road! Oh, wait. On that note: anybody in the tristate thinking about going to the Apr14 NH show? I don’t drive, but I can provide snacks and pithy conversation.",,,,1085192440884092930,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,False,Mon Sep 29 00:11:25 +0000 2008,False,False,"Marianna, 31. Bostonian. Furious. Political. Pop culture obsessed. Intersectional feminist. I want to pet your dog. (She/her.) #blacklivesmatter #friendofthepod",[],,159766,,700,,1472,True,True,16504768,16504768,False,False,en,32,Boston,"don’t 👻, vote!",,1A1803,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,https://pbs.twimg.com/profile_banners/16504768/1354209594,http://pbs.twimg.com/profile_images/1083847347883438080/72ku9QTQ_normal.jpg,https://pbs.twimg.com/profile_images/1083847347883438080/72ku9QTQ_normal.jpg,0099CC,FFF8AD,F6FFD1,333333,True,False,mcterzakis,70440,,none,,,False
3,,,,Tue Jan 15 14:58:28 +0000 2019,When @mint calls you out for a slow start to your #weddingdiet - not sure I love this use of #data !! All I needed was some breakfast sandwiches on the road :) https://t.co/d4K8eXbOGC,,,,1085189478677852168,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,False,Mon Feb 21 07:55:36 +0000 2011,False,False,"Co-founder, President @armoredthings. Follow me on startups, diversity, VC, IoT, cyber-physical security, & data. Views are my own. #femalefounders",[],"[{'display_url': 'linkedin.com/in/julieejohns…', 'expanded_url': 'https://www.linkedin.com/in/julieejohnson1/', 'indices': [0, 23], 'url': 'https://t.co/f4cqjtOl9Q'}]",658,,427,,1106,True,True,255390578,255390578,False,False,en,20,"Boston, MA",Julie Johnson,,000000,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,https://pbs.twimg.com/profile_banners/255390578/1531836056,http://pbs.twimg.com/profile_images/1019658914168819712/uysvCEb4_normal.jpg,https://pbs.twimg.com/profile_images/1019658914168819712/uysvCEb4_normal.jpg,1B95E0,000000,000000,000000,False,False,Armored_Jewels,324,,none,https://t.co/f4cqjtOl9Q,,False
4,,,,Tue Jan 15 14:56:00 +0000 2019,"@RizNJ @confederaliss @SWTheory66 And what, he doesn't want more? He doesn't want that ""Anti-Disney"" money he'll make from his Anti-Disney videos? I don't agree with his tactics, but he is a smart individual &amp; I can totally see this being the road be takes.",,,,1085188859414044672,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,False,Sat Mar 21 07:46:43 +0000 2009,False,False,"Don't take life so seriously, live it to it's fullest & enjoy it because none of us are getting out of here alive..........",[],,255829,,4539,,4628,True,True,25653324,25653324,False,False,en,133,"Boston, MA",🎅 Karen Catizone🎄,,FF0040,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/25653324/1449633805,http://pbs.twimg.com/profile_images/674438387105828864/q1BlxYOO_normal.jpg,https://pbs.twimg.com/profile_images/674438387105828864/q1BlxYOO_normal.jpg,FF00FF,000000,DDEEF6,333333,True,False,Mugsysam,184108,,none,,,False
5,,,,Tue Jan 15 13:01:54 +0000 2019,Thank God for this privacy screen protector. Because the way he leaning in to see what I’m doing. Like focus on the road son before we die.,,,,1085160144839868416,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,False,Thu Sep 20 17:07:09 +0000 2018,True,False,ANTI- SOCIAL SOCIALITE 🤙🏾,[],,203,,49,,81,True,True,1042822484414877697,1042822484414877697,False,False,en,0,"Boston, MA",Jus call me PEACHEESS!,,F5F8FA,,,False,https://pbs.twimg.com/profile_banners/1042822484414877697/1545187577,http://pbs.twimg.com/profile_images/1067573717272838144/1tMQdYQ3_normal.jpg,https://pbs.twimg.com/profile_images/1067573717272838144/1tMQdYQ3_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,rudegaldye,451,,none,,,False
6,,"[-71.06966605, 42.35115163]",Point,Tue Jan 15 03:08:06 +0000 2019,"Taking to the road later this week for Arisia 2019! Find Strange Hours in the dealer’s room at the Boston Park Plaza, Friday the 18 to Monday the 21st! (…because what even is January if I… https://t.co/inQqsGuBh4",,"[42.35115163, -71.06966605]",Point,1085010711271669760,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,False,Mon Apr 07 05:26:34 +0000 2008,False,False,"To prevent fading, store in a cool, dry place. Avoid direct exposure to sunlight. Home of Crows Before Bros!",[],"[{'display_url': 'chronographia.etsy.com', 'expanded_url': 'http://chronographia.etsy.com', 'indices': [0, 23], 'url': 'https://t.co/V0HbhQmaWM'}]",16124,,215,,92,True,False,14320391,14320391,False,False,en,34,City of Entropy,Chronographia,,E1ECEE,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/14320391/1397971812,http://pbs.twimg.com/profile_images/2629198561/d0ed9ef296d69ef69074f1e662ac38a1_normal.jpeg,https://pbs.twimg.com/profile_images/2629198561/d0ed9ef296d69ef69074f1e662ac38a1_normal.jpeg,4B4E75,000000,BCBCBC,442222,True,False,strangehours,19961,,none,https://t.co/V0HbhQmaWM,,False
7,,,,Tue Jan 15 02:58:13 +0000 2019,"Nothing like an 0-3 road trip against three blah Eastern Conference teams (Heat, Magic &amp; Nets) to make you feel great about the Celts #Celtics #NBA",,,,1085008222396784641,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,False,Wed Jun 01 05:18:39 +0000 2011,False,False,"@NHLBruins beat writer @MetroBOS; Twitter-obsessed Boston sports fan; @Beverly_High & @ProvidenceCol alum; 🍺 snob; Amateur music, TV & film critic. ⚽ apologist",[],"[{'display_url': 'metro.us/boston/sports', 'expanded_url': 'http://www.metro.us/boston/sports', 'indices': [0, 23], 'url': 'https://t.co/CD2lfRlCsS'}]",79729,,1085,,2000,True,True,308892843,308892843,False,False,en,121,"Wakefield, MA",Richard Slate,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/308892843/1500519238,http://pbs.twimg.com/profile_images/1082925145440903168/VCbs43ry_normal.jpg,https://pbs.twimg.com/profile_images/1082925145440903168/VCbs43ry_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,False,RichSlate,813215,,none,https://t.co/CD2lfRlCsS,,False
8,,,,Tue Jan 15 02:18:22 +0000 2019,#Celtics road trippin’. https://t.co/LpQDdBfInw,,,,1084998194046607361,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,False,Tue Aug 03 20:35:09 +0000 2010,False,False,Celtics STM. Midnight Riders/Fort. Red Sox. Bruins STH. Gators. Gunners. Yup... @GeorgeEDeveney IG: https://t.co/CXIxdYXYdz,"[{'display_url': 'instagram.com/georgedeveney/', 'expanded_url': 'https://www.instagram.com/georgedeveney/', 'indices': [100, 123], 'url': 'https://t.co/CXIxdYXYdz'}]","[{'display_url': 'youtu.be/SoR7B3bcFvk', 'expanded_url': 'http://youtu.be/SoR7B3bcFvk', 'indices': [0, 23], 'url': 'https://t.co/f8DRR5tLXn'}]",12601,,611,,562,True,False,174391778,174391778,False,False,en,16,"Dorchester, Boston",George From Boston Sr.,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/174391778/1505184930,http://pbs.twimg.com/profile_images/907437238669148160/BDabY7fk_normal.jpg,https://pbs.twimg.com/profile_images/907437238669148160/BDabY7fk_normal.jpg,0084B4,C0DEED,DDEEF6,333333,False,False,Section328,4187,,none,https://t.co/f8DRR5tLXn,,False
9,,,,Tue Jan 15 00:47:28 +0000 2019,Boston is 16-6-0 this season @tdgarden while Montreal is 12-8-3 on the road #NHLBruins #Canadiens #MetroBoston,,,,1084975317427597312,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,False,Wed Jun 01 05:18:39 +0000 2011,False,False,"@NHLBruins beat writer @MetroBOS; Twitter-obsessed Boston sports fan; @Beverly_High & @ProvidenceCol alum; 🍺 snob; Amateur music, TV & film critic. ⚽ apologist",[],"[{'display_url': 'metro.us/boston/sports', 'expanded_url': 'http://www.metro.us/boston/sports', 'indices': [0, 23], 'url': 'https://t.co/CD2lfRlCsS'}]",79729,,1085,,2000,True,True,308892843,308892843,False,False,en,121,"Wakefield, MA",Richard Slate,,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/308892843/1500519238,http://pbs.twimg.com/profile_images/1082925145440903168/VCbs43ry_normal.jpg,https://pbs.twimg.com/profile_images/1082925145440903168/VCbs43ry_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,False,RichSlate,813215,,none,https://t.co/CD2lfRlCsS,,False
