,text,intersection,coordinates.coordinates,created_at,place.bounding_box.coordinates,place.country,place.country_code,place.full_name,user.created_at,user.location
0,"Road construction, left lane closed in #Albuquerque on Tijeras Ave EB west of 3rd St #traffic https://t.co/roJyGryxFq",Tijeras Ave E,"[-106.65, 35.08653]",Mon Jan 14 14:56:55 +0000 2019,"[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]",United States,US,"Albuquerque, NM",Tue Feb 08 23:44:59 +0000 2011,Albuquerque
1,Road construction. right lanes closed in #Pima on I-10 EB at Ruthrauff Rd #traffic https://t.co/bc4TAizExm,I-10 EB at Ruthrauff Rd,"[-111.0295, 32.29418]",Mon Jan 14 14:31:30 +0000 2019,"[[[-111.083219, 32.057802], [-110.747928, 32.057802], [-110.747928, 32.320979], [-111.083219, 32.320979]]]",United States,US,"Tucson, AZ",Thu Feb 10 00:00:33 +0000 2011,"Tucson, AZ"
2,"Road construction, shoulder closed in #ElPaso on I 10 Both EB/WB from Executive Ctr Blvd to Sunland Park Dr #traffic https://t.co/nZ2qPHc0XJ",I 10 Both EB/WB from Executive Ctr Blvd to Sunland Park Dr,"[-106.52, 31.79295]",Mon Jan 14 14:28:12 +0000 2019,"[[[-106.634874, 31.6206683], [-106.199987, 31.6206683], [-106.199987, 31.966068], [-106.634874, 31.966068]]]",United States,US,"El Paso, TX",Thu Feb 10 20:42:54 +0000 2011,"El Paso, TX"
3,Ughhh at the dentist for a cleaning and the sidewalks are closed. HOW DO YOU CLOSE A SIDEWALK. Like...am I supposed to walk in the road lol,,,Mon Jan 14 14:08:05 +0000 2019,"[[[-86.044756, 41.426657], [-85.9629436, 41.426657], [-85.9629436, 41.464375], [-86.044756, 41.464375]]]",United States,US,"Nappanee, IN",Thu Jul 30 19:27:12 +0000 2009,"New Paris, IN"
4,Road constructions. two right lanes closed in #Pima on I-10 EB at Ruthrauff Rd #traffic https://t.co/bc4TAizExm,I-10 EB at Ruthrauff Rd,"[-111.0295, 32.29418]",Mon Jan 14 13:49:35 +0000 2019,"[[[-111.083219, 32.057802], [-110.747928, 32.057802], [-110.747928, 32.320979], [-111.083219, 32.320979]]]",United States,US,"Tucson, AZ",Thu Feb 10 00:00:33 +0000 2011,"Tucson, AZ"
5,All eastbound lanes are closed due to snow and ice on the road. in #Valyermo on Angeles Crest Hwy EB between CA-39 and Big Pines Hwy,Angeles Crest Hwy EB between CA-39 and Big Pines Hwy,"[-117.8511, 34.35686]",Mon Jan 14 13:13:00 +0000 2019,"[[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]]",United States,US,"California, USA",Wed Aug 12 21:43:18 +0000 2009,Southern California
6,State Rd 44 is closed at Sugar Creek Rd near the Johnson County/Shelby County Line. Shelby County Sheriff’s Officer… https://t.co/lXZj9ippFt,State Rd 44 is closed at Sugar Creek Rd,,Mon Jan 14 13:06:22 +0000 2019,"[[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]]",United States,US,"Indianapolis, IN",Sat Jun 26 01:22:46 +0000 2010,"Indianapolis, IN"
7,"Due to road conditions, schools and offices, including Central Office, will be closed for 12-month employees today, Monday, January 14.",,,Mon Jan 14 12:51:37 +0000 2019,"[[[-75.689007, 38.275414], [-75.6022644, 38.275414], [-75.6022644, 38.342711], [-75.689007, 38.342711]]]",United States,US,"Fruitland, MD",Tue Jul 26 18:57:36 +0000 2016,"Maryland, USA"
8,For those going to @BenLippenSchool down Monticello Road from Blythewood at 7:25 am both sides of the road are clos… https://t.co/KZ2YHFjDlQ,Monticello Road from Blythewood,,Mon Jan 14 12:29:51 +0000 2019,"[[[-83.353955, 32.04683], [-78.499301, 32.04683], [-78.499301, 35.215449], [-83.353955, 35.215449]]]",United States,US,"South Carolina, USA",Tue Jun 20 22:49:11 +0000 2017,"Columbia, SC"
9,Road construction. two left lanes closed in #FortWorth on 35W SB between Morningside Dr and E Felix St #DFWTraffic https://t.co/4NzBppXRvr,5W SB between Morningside Dr and E Felix St,"[-97.32055, 32.713]",Mon Jan 14 11:44:34 +0000 2019,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",United States,US,"Fort Worth, TX",Thu May 21 21:15:33 +0000 2009,Dallas/Fort Worth
10,The drainage project on Center Street in #VineyardHaven continues this week - the road is closed to parking and… https://t.co/X04Uiougpu,Center Street ,,Mon Jan 14 11:23:01 +0000 2019,"[[[-70.62084, 41.4245617], [-70.586828, 41.4245617], [-70.586828, 41.470139], [-70.62084, 41.470139]]]",United States,US,"Vineyard Haven, MA",Mon Apr 20 01:24:54 +0000 2009,"Martha's Vineyard, MA"
11,"Closed due to road construction in #FortWorth on 35W SB at Pharr, stop and go traffic back to Northside Dr… https://t.co/AyfxrFRbqU",35W SB at Pharr,"[-97.31861, 32.7677]",Mon Jan 14 10:33:20 +0000 2019,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",United States,US,"Fort Worth, TX",Thu May 21 21:15:33 +0000 2009,Dallas/Fort Worth
12,Closed due to road construction in #FortWorth on 35W SB at Pharr #DFWTraffic https://t.co/4NzBppXRvr,35W SB at Pharr,"[-97.31861, 32.7677]",Mon Jan 14 10:32:16 +0000 2019,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",United States,US,"Fort Worth, TX",Thu May 21 21:15:33 +0000 2009,Dallas/Fort Worth
13,Road construction. two left lanes closed in #FortWorth on 35W SB between Berry St and Seminary Dr #DFWTraffic https://t.co/4NzBppXRvr,35W SB between Berry St and Seminary Dr,"[-97.32055, 32.70593]",Mon Jan 14 06:24:13 +0000 2019,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",United States,US,"Fort Worth, TX",Thu May 21 21:15:33 +0000 2009,Dallas/Fort Worth
