coordinates,coordinates.coordinates,coordinates.type,created_at,geo,geo.coordinates,geo.type,id,place.bounding_box.coordinates,place.bounding_box.type,place.contained_within,place.country,place.country_code,place.full_name,place.id,place.name,place.place_type,place.url,text,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.entities.description.urls,user.entities.url.urls,user.favourites_count,user.follow_request_sent,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.has_extended_profile,user.id,user.id_str,user.is_translation_enabled,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_banner_url,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.translator_type,user.url,user.utc_offset,user.verified
,"[-106.65, 35.08653]",Point,Mon Jan 14 14:56:55 +0000 2019,,"[35.08653, -106.65]",Point,1084826703724249089,"[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]",Polygon,[],United States,US,"Albuquerque, NM",813a485b26b8dae2,Albuquerque,city,https://api.twitter.com/1.1/geo/id/813a485b26b8dae2.json,"Road construction, left lane closed in #Albuquerque on Tijeras Ave EB west of 3rd St #traffic https://t.co/roJyGryxFq",False,Tue Feb 08 23:44:59 +0000 2011,False,False,See a traffic issue? Call & let us know about it on our traffic tipline 883-8369,[],"[{'expanded_url': 'http://totaltraffic.com/LocalTraffic/Albuquerque/', 'url': 'https://t.co/0ksDF2WEvB', 'indices': [0, 23], 'display_url': 'totaltraffic.com/LocalTraffic/A…'}]",26,False,1545,False,226,True,False,249397229,249397229,False,False,en,73,Albuquerque,TTN Albuquerque,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439087501743890432/Em-oMhHz_normal.png,https://pbs.twimg.com/profile_images/439087501743890432/Em-oMhHz_normal.png,0084B4,C0DEED,DDEEF6,333333,True,False,TotalTrafficABQ,22351,,none,https://t.co/0ksDF2WEvB,,False
,"[-111.0295, 32.29418]",Point,Mon Jan 14 14:31:30 +0000 2019,,"[32.29418, -111.0295]",Point,1084820307217731584,"[[[-111.083219, 32.057802], [-110.747928, 32.057802], [-110.747928, 32.320979], [-111.083219, 32.320979]]]",Polygon,[],United States,US,"Tucson, AZ",013379ee5729a5e6,Tucson,city,https://api.twitter.com/1.1/geo/id/013379ee5729a5e6.json,Road construction. right lanes closed in #Pima on I-10 EB at Ruthrauff Rd #traffic https://t.co/bc4TAizExm,False,Thu Feb 10 00:00:33 +0000 2011,False,False,Keeping you up to date on all the traffic in Tucson. Tucson Tip Line 618-0219,[],,15,False,1509,False,303,True,False,249882601,249882601,False,False,en,82,"Tucson, AZ",TTN Tucson,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439101657704448002/7yfkJWrD_normal.png,https://pbs.twimg.com/profile_images/439101657704448002/7yfkJWrD_normal.png,0084B4,C0DEED,DDEEF6,333333,True,False,TotalTrafficTUC,44176,,none,,,False
,"[-106.52, 31.79295]",Point,Mon Jan 14 14:28:12 +0000 2019,,"[31.79295, -106.52]",Point,1084819476888125440,"[[[-106.634874, 31.6206683], [-106.199987, 31.6206683], [-106.199987, 31.966068], [-106.634874, 31.966068]]]",Polygon,[],United States,US,"El Paso, TX",6a0a3474d8c5113c,El Paso,city,https://api.twitter.com/1.1/geo/id/6a0a3474d8c5113c.json,"Road construction, shoulder closed in #ElPaso on I 10 Both EB/WB from Executive Ctr Blvd to Sunland Park Dr #traffic https://t.co/nZ2qPHc0XJ",False,Thu Feb 10 20:42:54 +0000 2011,True,False,,[],,15,False,659,False,455,True,False,250302410,250302410,False,False,en,47,"El Paso, TX",TTN El Paso,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/439093302327906304/Dro5zYaU_normal.png,https://pbs.twimg.com/profile_images/439093302327906304/Dro5zYaU_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,TotalTrafficELP,64341,,none,,,False
,,,Mon Jan 14 14:08:05 +0000 2019,,,,1084814410621898753,"[[[-86.044756, 41.426657], [-85.9629436, 41.426657], [-85.9629436, 41.464375], [-86.044756, 41.464375]]]",Polygon,[],United States,US,"Nappanee, IN",44d3aded71a7487b,Nappanee,city,https://api.twitter.com/1.1/geo/id/44d3aded71a7487b.json,Ughhh at the dentist for a cleaning and the sidewalks are closed. HOW DO YOU CLOSE A SIDEWALK. Like...am I supposed to walk in the road lol,False,Thu Jul 30 19:27:12 +0000 2009,False,False,• 574 • HS-BCP • Reality TV shows are my guilty pleasure • Sports fan • Notre Dame • NY Giants • VGK • NASCAR • 💜 @SportsJournNiko has dibs.,[],"[{'expanded_url': 'http://www.instagram.com/shelbygray', 'url': 'https://t.co/6V64xuiS9G', 'indices': [0, 23], 'display_url': 'instagram.com/shelbygray'}]",192,False,1761,False,1991,True,True,61574885,61574885,False,False,en,37,"New Paris, IN",Shelby,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/61574885/1541121196,http://pbs.twimg.com/profile_images/1077690432266604544/47GBERpu_normal.jpg,https://pbs.twimg.com/profile_images/1077690432266604544/47GBERpu_normal.jpg,9266CC,000000,B11616,000000,True,False,ShelbyGray_,84724,,none,https://t.co/6V64xuiS9G,,False
,"[-111.0295, 32.29418]",Point,Mon Jan 14 13:49:35 +0000 2019,,"[32.29418, -111.0295]",Point,1084809756940910592,"[[[-111.083219, 32.057802], [-110.747928, 32.057802], [-110.747928, 32.320979], [-111.083219, 32.320979]]]",Polygon,[],United States,US,"Tucson, AZ",013379ee5729a5e6,Tucson,city,https://api.twitter.com/1.1/geo/id/013379ee5729a5e6.json,Road constructions. two right lanes closed in #Pima on I-10 EB at Ruthrauff Rd #traffic https://t.co/bc4TAizExm,False,Thu Feb 10 00:00:33 +0000 2011,False,False,Keeping you up to date on all the traffic in Tucson. Tucson Tip Line 618-0219,[],,15,False,1509,False,303,True,False,249882601,249882601,False,False,en,82,"Tucson, AZ",TTN Tucson,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439101657704448002/7yfkJWrD_normal.png,https://pbs.twimg.com/profile_images/439101657704448002/7yfkJWrD_normal.png,0084B4,C0DEED,DDEEF6,333333,True,False,TotalTrafficTUC,44176,,none,,,False
,"[-117.8511, 34.35686]",Point,Mon Jan 14 13:13:00 +0000 2019,,"[34.35686, -117.8511]",Point,1084800548413554688,"[[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]]",Polygon,[],United States,US,"California, USA",fbd6d2f5a4e4a15e,California,admin,https://api.twitter.com/1.1/geo/id/fbd6d2f5a4e4a15e.json,All eastbound lanes are closed due to snow and ice on the road. in #Valyermo on Angeles Crest Hwy EB between CA-39 and Big Pines Hwy,False,Wed Aug 12 21:43:18 +0000 2009,False,False,Providing you #LIVE #traffic updates for your #SoCal drive! Got a tip? Tell us about it on the @RalphsGrocery Saving You Time Traffic Line: (888) 500-5003,[],"[{'expanded_url': 'http://totaltrafficla.com', 'url': 'https://t.co/JwhaVm9kQy', 'indices': [0, 23], 'display_url': 'totaltrafficla.com'}]",86,False,18017,False,532,True,False,65171105,65171105,False,False,en,718,Southern California,Total Traffic LA,False,BADFCD,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,False,https://pbs.twimg.com/profile_banners/65171105/1409546470,http://pbs.twimg.com/profile_images/511290019365928960/Lf6blr9Y_normal.jpeg,https://pbs.twimg.com/profile_images/511290019365928960/Lf6blr9Y_normal.jpeg,1100FF,F2E195,FFF7CC,0C3E53,True,False,TotalTrafficLA,239386,,none,https://t.co/JwhaVm9kQy,,False
,,,Mon Jan 14 13:06:22 +0000 2019,,,,1084798880204632065,"[[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]]",Polygon,[],United States,US,"Indianapolis, IN",018929347840059e,Indianapolis,city,https://api.twitter.com/1.1/geo/id/018929347840059e.json,State Rd 44 is closed at Sugar Creek Rd near the Johnson County/Shelby County Line. Shelby County Sheriff’s Officer… https://t.co/lXZj9ippFt,False,Sat Jun 26 01:22:46 +0000 2010,False,False,"Traffic Anchor & MMJ at @rtv6 | Multi Emmy-winning journalist | Make-a-Wish Recipient & Advocate | Yoga | “Sorry, I was napping.” | Alanna.Martella@WRTV.com",[],"[{'expanded_url': 'http://www.facebook.com/AlannaMartellaNews', 'url': 'https://t.co/iicj4cTiXj', 'indices': [0, 23], 'display_url': 'facebook.com/AlannaMartella…'}]",7909,False,4081,False,585,True,True,159671443,159671443,False,False,en,55,"Indianapolis, IN",Alanna Martella,False,000000,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,False,https://pbs.twimg.com/profile_banners/159671443/1501633525,http://pbs.twimg.com/profile_images/1061769264888233986/rw4fbKt1_normal.jpg,https://pbs.twimg.com/profile_images/1061769264888233986/rw4fbKt1_normal.jpg,68563B,4C3E29,B3A48F,000000,True,False,AlannaMartella,16639,,none,https://t.co/iicj4cTiXj,,True
,,,Mon Jan 14 12:51:37 +0000 2019,,,,1084795167230574593,"[[[-75.689007, 38.275414], [-75.6022644, 38.275414], [-75.6022644, 38.342711], [-75.689007, 38.342711]]]",Polygon,[],United States,US,"Fruitland, MD",d79e7771d4709522,Fruitland,city,https://api.twitter.com/1.1/geo/id/d79e7771d4709522.json,"Due to road conditions, schools and offices, including Central Office, will be closed for 12-month employees today, Monday, January 14.",False,Tue Jul 26 18:57:36 +0000 2016,True,False,"Assistant Principal, North Dorchester High School",[],"[{'expanded_url': 'https://www.etsy.com/shop/SolavaStitchandCraft', 'url': 'https://t.co/7aivx6ANqZ', 'indices': [0, 23], 'display_url': 'etsy.com/shop/SolavaSti…'}]",5471,False,139,False,217,True,True,758013416028069888,758013416028069888,False,False,en,1,"Maryland, USA",Erin Fitzgerald,False,F5F8FA,,,False,https://pbs.twimg.com/profile_banners/758013416028069888/1469563597,http://pbs.twimg.com/profile_images/758015297873965057/cRuGUPJL_normal.jpg,https://pbs.twimg.com/profile_images/758015297873965057/cRuGUPJL_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,EFitzSolava,764,,none,https://t.co/7aivx6ANqZ,,False
,,,Mon Jan 14 12:29:51 +0000 2019,,,,1084789691709308928,"[[[-83.353955, 32.04683], [-78.499301, 32.04683], [-78.499301, 35.215449], [-83.353955, 35.215449]]]",Polygon,[],United States,US,"South Carolina, USA",6057f1e35bcc6c20,South Carolina,admin,https://api.twitter.com/1.1/geo/id/6057f1e35bcc6c20.json,For those going to @BenLippenSchool down Monticello Road from Blythewood at 7:25 am both sides of the road are clos… https://t.co/KZ2YHFjDlQ,False,Tue Jun 20 22:49:11 +0000 2017,True,False,"Christ follower, husband, father of two. @BenLippenMBB basketball coach, and educator.",[],"[{'expanded_url': 'http://www.BenLippenSports.com', 'url': 'https://t.co/mouOOMAqQq', 'indices': [0, 23], 'display_url': 'BenLippenSports.com'}]",1088,False,610,False,1425,True,False,877297303870111745,877297303870111745,False,False,en,6,"Columbia, SC",John Combs,False,F5F8FA,,,False,https://pbs.twimg.com/profile_banners/877297303870111745/1529005481,http://pbs.twimg.com/profile_images/877333543390674944/23egOpWg_normal.jpg,https://pbs.twimg.com/profile_images/877333543390674944/23egOpWg_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,JohnCombs_BL,602,,none,https://t.co/mouOOMAqQq,,False
,"[-97.32055, 32.713]",Point,Mon Jan 14 11:44:34 +0000 2019,,"[32.713, -97.32055]",Point,1084778296087375872,"[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]",Polygon,[],United States,US,"Fort Worth, TX",42e46bc3663a4b5f,Fort Worth,city,https://api.twitter.com/1.1/geo/id/42e46bc3663a4b5f.json,Road construction. two left lanes closed in #FortWorth on 35W SB between Morningside Dr and E Felix St #DFWTraffic https://t.co/4NzBppXRvr,False,Thu May 21 21:15:33 +0000 2009,False,False,Total Traffic Network for Dallas/Fort Worth-Call us to report traffic delays: 214-866-8888,[],"[{'expanded_url': 'http://www.totaltraffic.com/', 'url': 'http://t.co/vThEPeuicN', 'indices': [0, 22], 'display_url': 'totaltraffic.com'}]",191,False,12096,False,372,True,False,41679815,41679815,False,False,en,286,Dallas/Fort Worth,Total Traffic DFW,False,51EDC6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,,http://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,https://pbs.twimg.com/profile_images/439092889390309376/gmZyQ8YO_normal.png,402A17,4A2C1E,60F0D3,42301C,True,False,TotalTrafficDFW,275709,,none,http://t.co/vThEPeuicN,,False
