tweed_id	rating	tweet
0	1	"Road construction, left lane closed in #Albuquerque on Tijeras Ave EB west of 3rd St #traffic https://t.co/roJyGryxFq"
1	1	Road construction. right lanes closed in #Pima on I-10 EB at Ruthrauff Rd #traffic https://t.co/bc4TAizExm
2	1	"Road construction, shoulder closed in #ElPaso on I 10 Both EB/WB from Executive Ctr Blvd to Sunland Park Dr #traffic https://t.co/nZ2qPHc0XJ"
3	0	Ughhh at the dentist for a cleaning and the sidewalks are closed. HOW DO YOU CLOSE A SIDEWALK. Like...am I supposed to walk in the road lol
4	1	Road constructions. two right lanes closed in #Pima on I-10 EB at Ruthrauff Rd #traffic https://t.co/bc4TAizExm
5	2	All eastbound lanes are closed due to snow and ice on the road. in #Valyermo on Angeles Crest Hwy EB between CA-39 and Big Pines Hwy
6	1	State Rd 44 is closed at Sugar Creek Rd near the Johnson County/Shelby County Line. Shelby County Sheriff’s Officer… https://t.co/lXZj9ippFt
7	0	"Due to road conditions, schools and offices, including Central Office, will be closed for 12-month employees today, Monday, January 14."
8	1	For those going to @BenLippenSchool down Monticello Road from Blythewood at 7:25 am both sides of the road are closed due to an accident.  It does not look like it will clear up anytime soon https://t.co/KZ2YHFjDlQ
9	1	Road construction. two left lanes closed in #FortWorth on 35W SB between Morningside Dr and E Felix St #DFWTraffic https://t.co/4NzBppXRvr
10	2	The drainage project on Center Street in #VineyardHaven continues this week - the road is closed to parking and… https://t.co/X04Uiougpu
11	2	"Closed due to road construction in #FortWorth on 35W SB at Pharr, stop and go traffic back to Northside Dr… https://t.co/AyfxrFRbqU"
12	2	Closed due to road construction in #FortWorth on 35W SB at Pharr #DFWTraffic https://t.co/4NzBppXRvr
13	1	Road construction. two left lanes closed in #FortWorth on 35W SB between Berry St and Seminary Dr #DFWTraffic https://t.co/4NzBppXRvr
14	1	Road construction. three left lanes closed in #FortWorth on 35W SB between Berry St and Seminary Dr #DFWTraffic https://t.co/4NzBppXRvr
15	2	Closed due to road construction in #Evergreen on 6th Ave. Frwy Both EB/WB between US 40 and CO-119 #COtraffic https://t.co/gWR42BHdvb
16	2	Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM
17	1	Road construction. three left lanes closed in #FortWorth on 35W SB between Morningside Dr and Seminary Dr… https://t.co/mSqz9axgJX
18	1	"Road construction. three left lanes closed in #FortWorth on 35W SB between Allen Ave and Seminary Dr, stop and go... https://t.co/4NzBppXRvr"
19	1	"Road construction. two left lanes closed in #FortWorth on 35W SB between Allen Ave and Seminary Dr, stop and go traffic back to Rosedale St"
20	2	"Closed due to road construction on 288 S Fwy NB at The S Lp, stopped traffic back to Reed Rd. #traffic https://t.co/vuUN2yElDh"
21	1	"Road construction. two left lanes closed in #FortWorth on 35W SB at Allen Ave, stop and go traffic back to Rosedale St, delay of 1 min"
22	2	Closed due to road construction in #Southside on S Sam Houston Tollway EB between Hwy 288 and Cullen #traffic https://t.co/vuUN2yElDh
23	2	All eastbound lanes are closed due to snow and ice on the road. in #Valyermo on Angeles Crest Hwy EB between CA-39 and Big Pines Hwy
24	0	"For Monday, January 14, all RCPS schools wii be closed due to inclement weather and some hazardous road, parking lo… https://t.co/EXNvu2c2ST"
25	0	"From ACPS... Due to anticipated road conditions tomorrow, Monday 1/14, schools will be closed.  Stay safe, Mustangs… https://t.co/mEHzhndync"
26	0	"Tolton Catholic will remain closed tomorrow, January 14, due to concerns about road conditions.  Please watch commu… https://t.co/ju7ZMZnsIp"
27	2	Closed due to road construction on I-275 Both NB/SB at Kilby Rd #traffic https://t.co/oaARUiexk1
28	2	Closed due to road construction in #Southside on S Sam Houston Tollway EB between Hwy 288 and Cullen #traffic https://t.co/vuUN2yElDh
29	2	Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM
30	0	Oakley Brick Church of the Brethren is closed today due to weather and road conditions.
31	0	"Redeemer Church, 3431 Hamilton Middletown Road, is closed today. No services."
32	0	"Considering a delayed opening at noon today.  If we  receive additional snow this morning, we will stay closed. (A… https://t.co/XJP1odj2RL"
33	0	We’re closed today due to the snow and road conditions...hope you’re stocked up with plenty of wine! Kate Greer P… https://t.co/kn0DEnlVAM
34	2	Special Event on US 98 both dir. @ MP28 at Bankhead Tunnel in Mobile. Road closed. Seek alternate route. More detai… https://t.co/q5vNvevcwM
35	1	"SBCO: SB I-215 at Barton Road, Grand Terrace, multi vehicle collision blocking lanes #1-4 and Barton off ramp is cl… https://t.co/MOeOfQ2wVL"
36	2	Closed due to road construction in #MiamiDade on 95 Express SB between Golden Glades Entrance and Downtown Miami Exit #SFLtraffic
37	2	All eastbound lanes are closed due to snow and ice on the road. in #Valyermo on Angeles Crest Hwy EB between CA-39 and Big Pines Hwy
38	2	Major Crash on I-20 EB @ MP190.3 at Exit 188: US431 N/Leon Smith Pkwy in Anniston. Road closed. Seek alternate rout… https://t.co/PEPGm60UiB
39	2	Closed due to road construction in #Southside on S Sam Houston Tollway EB between Hwy 288 and Cullen #traffic https://t.co/vuUN2yElDh
40	1	Southbound 101 freeway still closed at lost hills. Agoura Road is jam southbound. Heading to the Civic arts Plaza f… https://t.co/tWzhAVh47x
41	2	Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM
42	2	Manchester road off Wayne avenue is closed off by police. Giving traffic delivery updated as I see them
43	2	West Hempfield Township Police confirm fatal accident on Marietta Avenue in Lancaster County. The road is currently closed… https://t.co/ftHm6cR2DU
44	0	"I suspected the trails would be closed, but it’s OK. The road offers enough nature fix...much needed today. @ To… https://t.co/aLYGiFbdCL"
45	2	Major Crash on US11 SB @ MP83.8 at Hargrove Rd E in Tuscaloosa. Road closed. Seek alternate route. More details: https://t.co/363ni1q7XY
46	1	"Northbound US 101 at Las Virgenes Road is OPEN, but slow because the southbound lanes will remain closed for an investigation… https://t.co/QOokrzqoUD"
47	2	"Romer Rd will be closed between Glendale and Northland for the next couple hours due to a crash, No injuries. Thank… https://t.co/BAv5gbDiFz"
48	2	All eastbound lanes are closed due to snow and ice on the road. in #Valyermo on Angeles Crest Hwy EB between CA-39 and Big Pines Hwy
49	0	@alaska511 It would help to know which road is closed.
50	2	"Single vehicle crash roll over River Road in the area of number 66. Roadway will be closed temporarily, expect delays, seek alternative routes… https://t.co/iblogZzF2w"
51	2	"Cougar fans traveling to Lakeland for the Girls NECC championship game. State Road 9 is closed in Wolcottville due to a structure fire, plan accordingly and find an alternative route. https://t.co/Be4mIPlhAM"
52	1	"Road construction, right lane closed in #Dallas on 30 EB approaching Jim Miller Rd, stop and go traffic back to Lawnview Ave #DFWTraffic"
53	0	"I’m waiting for Josie to walk to me at a point where the road is closed off by a snow plow that went off the road,… https://t.co/60pj6BenoV"
54	2	Closed due to road construction in #Cambridge on Memorial Dr WB before Mass Ave and Vassar St #traffic https://t.co/AoTr5OKtFq
55	2	Closed due to road construction in #Seattle on Virginia St Both EB/WB between Boren Ave and Minor Ave #traffic https://t.co/12UyGMOG9h
